PID,LEGAL_TYPE,FOLIO,LAND_COORDINATE,ZONING_DISTRICT,ZONING_CLASSIFICATION,LOT,PLAN,BLOCK,DISTRICT_LOT,FROM_CIVIC_NUMBER,TO_CIVIC_NUMBER,STREET_NAME,PROPERTY_POSTAL_CODE,NARRATIVE_LEGAL_LINE1,NARRATIVE_LEGAL_LINE2,NARRATIVE_LEGAL_LINE3,NARRATIVE_LEGAL_LINE4,NARRATIVE_LEGAL_LINE5,CURRENT_LAND_VALUE,CURRENT_IMPROVEMENT_VALUE,TAX_ASSESSMENT_YEAR,PREVIOUS_LAND_VALUE,PREVIOUS_IMPROVEMENT_VALUE,YEAR_BUILT,BIG_IMPROVEMENT_YEAR,TAX_LEVY,NEIGHBOURHOOD_CODE,REPORT_YEAR
010-941-487,LAND,217724740000,21772474,RS-1,One-Family Dwelling,23,VAP6182,7,391,,4650.0,WINDSOR ST,V5V 4P7,LOT 23  BLOCK 7  PLAN VAP6182  DIST,RICT LOT 391  NEW WESTMINSTER WEST,"PART OF, & DL 392.",,,1272000.0,69100.0,2020.0,1389000.0,73300.0,1950.0,1975.0,6028.63,16,2020
027-723-259,STRATA,42638970022,4263897,C-2,Commercial,22,BCS3187,,540,,1959.0,COLLINGWOOD ST,V6R 3K6,LOT 22  PLAN BCS3187  DISTRICT LOT,540  NWD GROUP 1.,,,,1221000.0,353000.0,2021.0,1155000.0,349000.0,2008.0,2008.0,4600.0,2,2021
023-409-886,STRATA,592134050176,59213405,CD-1 (316),Comprehensive Development,176,LMS2371,,541,1406,438.0,SEYMOUR ST,V6B 6H4,LOT 176  PLAN LMS2371  DISTRICT LOT,541  NEW WESTMINSTER UNDIV 44/1586,7 SHARE IN COM PROP THEREIN.,,,347000.0,145000.0,2021.0,341000.0,144000.0,1996.0,1996.0,1449.55,26,2021
010-063-960,LAND,281796280000,28179628,RS-1,One-Family Dwelling,5,VAP8452,5,337,,6762.0,DAWSON ST,V5S 2W3,LOT 5  BLOCK 5  PLAN VAP8452  DISTR,ICT LOT 337  NWD OF SW 1/4.,,,,1607000.0,1271000.0,2021.0,1440000.0,1273000.0,2016.0,2016.0,8900.95,24,2021
011-980-249,LAND,824124220000,82412422,RS-1,One-Family Dwelling,20,VAP3987,3,325,,1588.0,65TH AVE W,V6P 2R1,LOT 20  BLOCK 3  PLAN VAP3987  DIST,RICT LOT 325  NEW WESTMINSTER,,,,1709000.0,276000.0,2021.0,1561000.0,283000.0,1996.0,1996.0,7543.17,12,2021
024-643-700,STRATA,640053570010,64005357,RM-4,Multiple Dwelling,10,LMS4059,,540,,3159.0,4TH AVE W,V6K 1R6,LOT 10  PLAN LMS4059  DISTRICT LOT,540  NEW WESTMINSTER UNDIV 813/3042,1 SHARE IN COM PROP THEREIN.,,,645000.0,179000.0,2022.0,558000.0,155000.0,1999.0,1999.0,2218.97,2,2022
006-070-574,STRATA,646149950011,64614995,FM-1,Multiple Dwelling,11,VAS859,,526,303,1005.0,7TH AVE W,V6H 1B2,LOT 11  PLAN VAS859  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 91 /1503,SHARE IN COM PROP THEREIN.,,,911000.0,83700.0,2022.0,731000.0,67200.0,1981.0,1981.0,2596.07,7,2022
019-194-340,STRATA,590271460023,59027146,C-2C,Commercial,23,LMS1880,,THSL,,2534.0,HASTINGS ST E,V5K 1Z3,LOT 23  PLAN LMS1880  DISTRICT LOT,THSL  NWD TOGETHER WITH AN INTEREST,IN THE COMMON PROPERTY IN PROPORTI,ON TO THE UNIT ENTITLEMENT OF THE S,TRATA LOT AS SHOWN ON FORM 1.,729000.0,62900.0,2023.0,629000.0,59300.0,1948.0,1990.0,,20,2023
027-013-499,STRATA,159743530009,15974353,CD-1 (436),Comprehensive Development,9,BCS2258,,526,,5615.0,WILLOW ST,V5Z 3S3,LOT 9  PLAN BCS2258  DISTRICT LOT 5,26  NEW WESTMINSTER GROUP 1.,,,,1418000.0,242000.0,2023.0,1313000.0,276000.0,2007.0,2007.0,,9,2023
028-116-950,STRATA,592233760002,59223376,RM-4,Multiple Dwelling,2,BCS3679,,183,,1546.0,PENDER ST E,V5L 1W1,LOT 2  PLAN BCS3679  DISTRICT LOT 1,"83  NWD GROUP 1, TOGETHER WITH AN I",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,F THE STRATA LOT AS SHOWN ON FORM 1,886000.0,277000.0,2021.0,858000.0,263000.0,2009.0,2009.0,4635.87,14,2021
005-553-687,STRATA,630077960025,63007796,RM-4,Multiple Dwelling,25,VAS614,,526,310,2410.0,CORNWALL AVE,V6K 1B8,LOT 25  PLAN VAS614  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 670/21882,SHARE IN COM PROP THEREIN.,,,736000.0,84100.0,2021.0,693000.0,87900.0,1979.0,1979.0,2396.75,2,2021
013-176-617,LAND,762270880000,76227088,RS-1,One-Family Dwelling,18,VAP2484,5,336,,2690.0,47TH AVE E,V5S 1C1,LOT 18  BLOCK 5  PLAN VAP2484  DIST,RICT LOT 336  NWD PART NE 1/4.,,,,1466000.0,34300.0,2022.0,1256000.0,30500.0,1961.0,1961.0,5833.2,24,2022
005-484-294,STRATA,90710510005,9071051,CD-1 (78),Comprehensive Development,5,VAS563,,526,,3939.0,ARBUTUS ST,V6J 4T2,LOT 5  PLAN VAS563  DISTRICT LOT 52,6  NEW WESTMINSTER UNDIV 1875/13232,5 SHARE IN COM PROP THEREIN.,,,1814000.0,136000.0,2023.0,1661000.0,156000.0,1978.0,1978.0,,4,2023
011-054-107,LAND,616296310000,61629631,RS-1,One-Family Dwelling,30,VAP5878,82,,,3233.0,GRAVELEY ST,V5K 3K8,LOT 30  BLOCK 82  PLAN VAP5878  NEW,WESTMINSTER DISTRICT LOT SEC 30 TH,SL.,,,1300000.0,259000.0,2021.0,1184000.0,269000.0,1990.0,1990.0,6341.17,21,2021
017-765-374,STRATA,646122090043,64612209,C-3A,Commercial,43,LMS344,,526,503,2288.0,PINE ST,V6J 5G4,LOT 43  PLAN LMS344  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 1058/8898,9 SHARE IN COM PROP THEREIN.,,,819000.0,331000.0,2023.0,725000.0,362000.0,1991.0,1991.0,,7,2023
026-536-030,STRATA,686122930024,68612293,RM-3,Multiple Dwelling,24,BCS1660,,526,801,2965.0,FIR ST,V6J 5M9,LOT 24  PLAN BCS1660  DISTRICT LOT,526  NEW WESTMINSTER GROUP 1.,,,,536000.0,212000.0,2020.0,593000.0,215000.0,2006.0,2006.0,2188.41,7,2020
028-247-612,STRATA,184634950092,18463495,CD-1 (454),Comprehensive Development,92,BCS3859,,FC,503,1633.0,ONTARIO ST,V5Y 0C2,"STRATA LOT 92, PLAN BCS3859, DISTRI","CT LOT FC, NEW WESTMINSTER LAND DIS","TRICT, TOGETHER WITH AN INTEREST IN",THE COMMON PROPERTY IN PROPORTION,TO THE UNIT ENTITLEMENT OF THE STRA,1064000.0,306000.0,2022.0,1088000.0,313000.0,2009.0,2009.0,3691.29,13,2022
030-029-082,STRATA,170792330122,17079233,CD-1 (569),Comprehensive Development,122,EPS2697,,526,PH6,6633.0,CAMBIE ST,,STRATA LOT 122  PLAN EPS2697  DISTR,ICT LOT 526  NWD  GROUP 1  TOGETHER,WITH AN INTEREST IN THE COMMON PRO,PERTY IN PROPORTION TO THE UNIT ENT,ITLEMENT OF THE STRATA LOT AS SHOWN,920000.0,282000.0,2023.0,841000.0,293000.0,2016.0,2016.0,,11,2023
029-022-916,STRATA,770270140063,77027014,CD-1 (487),Comprehensive Development,63,EPS1133,,393,904,4815.0,ELDORADO MEWS,V5R 0B2,LOT 63  PLAN EPS1133  DISTRICT LOT,"393  NWD GROUP 1, TOGETHER WITH AN",INTEREST IN THE COMMON PROPERTY IN,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,366000.0,229000.0,2021.0,381000.0,226000.0,2013.0,2013.0,1738.88,23,2021
006-848-257,LAND,688275530000,68827553,RS-1,Single Detached House,23,VAP11660,C,THSL,,2755.0,16TH AVE E,V5M 2L7,LOT 23  BLOCK C  SECTION 44  PLAN V,AP11660  DISTRICT LOT THSL  NEW WES,TMINSTER,,,1605000.0,796000.0,2023.0,1505000.0,730000.0,2011.0,2011.0,,22,2023
029-155-631,STRATA,643124710023,64312471,CD-1 (508),Comprehensive Development,23,EPS1550,,526,805,1565.0,6TH AVE W,V6J 1R1,LOT 23  PLAN EPS1550  DISTRICT LOT,"526  NWD GROUP 1, TOGETHER WITH AN",INTEREST IN THE COMMON PROPERTY IN,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,632000.0,423000.0,2022.0,609000.0,408000.0,2013.0,2013.0,2841.03,7,2022
011-646-080,LAND,616271920000,61627192,RS-5,One-Family Dwelling,5,VAP4322,24,THSL,,2592.0,GRAVELEY ST,V5K 3J6,LOT 5  BLOCK 24  PLAN VAP4322  DIST,RICT LOT THSL  NEW WESTMINSTER SECT,ION 33 SE QTR.,,,1635000.0,37400.0,2022.0,1346000.0,32300.0,1939.0,1939.0,6282.79,21,2022
016-001-958,STRATA,169632430012,16963243,FCCDD,Comprehensive Development,12,VAS2646,,,109,525.0,WHEELHOUSE SQ,V5Z 4L8,LOT 12  PLAN VAS2646  NEW WESTMINST,"ER DISTRICT LOT FALSE CREEK, UNDIV",670/76941 SHARE IN COM PROP THEREIN,.,,461000.0,173000.0,2020.0,502000.0,181000.0,1990.0,1990.0,1854.89,7,2020
029-928-427,LAND,188730750000,18873075,CD-1 (649),Comprehensive Development,A,EPP62525,4,637,,5089.0,QUEBEC ST,,LOT A  BLOCK 4  PLAN EPP62525  DIST,RICT LOT 637  NWD,,,,,,,,,1994.0,1994.0,,16,2023
031-329-811,STRATA,157602950033,15760295,CD-1 (653),Comprehensive Development,33,EPS4035,,541,1304,885.0,CAMBIE ST,V6B 0R6,STRATA LOT 33  PLAN EPS4035  DISTRI,CT LOT 541  NWD  GROUP 1  TOGETHER,WITH AN INTEREST IN THE COMMON PROP,ERTY IN PROPORTION TO THE UNIT ENTI,TLEMENT OF THE STRATA LOT AS SHOWN,1492000.0,671000.0,2022.0,,,2021.0,2021.0,5824.8,29,2022
024-706-931,STRATA,590118940310,59011894,CD-1 (409),Comprehensive Development,310,LMS4107,,185,2409,1128.0,HASTINGS ST W,V6E 4R5,LOT 310  PLAN LMS4107  DISTRICT LOT,185  NEW WESTMINSTER UNDIV 298/325,467 SHARE IN COM PROP THEREIN.,,,218000.0,81200.0,2021.0,274000.0,80800.0,1999.0,2000.0,2944.84,26,2021
024-846-571,STRATA,159607880332,15960788,CD-1 (324),Comprehensive Development,332,LMS4255,,FC,201,1099.0,MARINASIDE CRES,V6Z 2Z3,"STRATA LOT 332, PLAN LMS4255, DISTR","ICT LOT FC, NEW WESTMINSTER LAND DI","STRICT, TOGETHER WITH AN INTEREST I",N THE COMMON PROPERTY IN PROPORTION,TO THE UNIT ENTITLEMENT OF THE STR,1174000.0,383000.0,2022.0,1124000.0,367000.0,2000.0,2000.0,4192.88,30,2022
015-078-914,LAND,641296720000,64129672,RS-1,One-Family Dwelling,12,VAP1314,9,THSL,,3274.0,6TH AVE E,V5M 1S7,LOT 12  BLOCK 9  SECTION 37  PLAN V,AP1314  DISTRICT LOT THSL  NWD PART,N 1/2.,,,1155000.0,78200.0,2020.0,1305000.0,80600.0,1974.0,1974.0,5201.95,21,2020
004-016-301,STRATA,634077430004,63407743,RM-4,Multiple Dwelling,4,VAS1658,,526,,2445.0,1ST AVE W,V6K 1G5,LOT 4  PLAN VAS1658  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 133/457 S,HARE IN COM PROP THEREIN.,,,1393000.0,288000.0,2021.0,1408000.0,296000.0,1986.0,1986.0,4912.73,2,2021
003-810-640,STRATA,638077180007,63807718,RM-4,Multiple Dwelling,7,VAS284,,526,205,2480.0,3RD AVE W,V6K 1L8,LOT 7  PLAN VAS284  DISTRICT LOT 52,6  NEW WESTMINSTER UNDIV 4895/10000,0 SHARE IN COM PROP THEREIN.,,,530000.0,56900.0,2021.0,503000.0,62000.0,1976.0,1976.0,1715.22,2,2021
023-166-363,LAND,561138360000,56113836,CWD,Comprehensive Development,2,LMP23953,,541,,273.0,GRANVILLE ST,,LOT 2  PLAN LMP23953  DISTRICT LOT,"541  NWD GROUP 1, EXC PT IN AIR SPA","CE PL LMP23976, & OF PUBLIC HARBOUR",OF BURRARD INLET.,,1365000.0,0.0,2020.0,1365000.0,0.0,,,0.0,28,2020
023-682-868,STRATA,690150560018,69015056,RM-4,Multiple Dwelling,18,LMS2700,,472,203,962.0,16TH AVE W,V5Z 1T2,LOT 18  PLAN LMS2700  DISTRICT LOT,472  NEW WESTMINSTER UNDIV 65/2716,SHARE IN COM PROP THEREIN.,,,489000.0,136000.0,2021.0,461000.0,134000.0,1997.0,1997.0,1826.57,9,2021
029-257-182,STRATA,129614950149,12961495,CD-1 (503),Comprehensive Development,149,EPS1290,,541,2206,1351.0,CONTINENTAL ST,V6Z 0C6,LOT 149  PLAN EPS1290  DISTRICT LOT,"541  NWD GROUP 1, TOGETHER WITH AN",INTEREST IN THE COMMON PROPERTY IN,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,429000.0,260000.0,2023.0,428000.0,244000.0,2013.0,2013.0,,29,2023
029-590-418,STRATA,243692440027,24369244,MC-1,Industrial,27,EPS2683,,752,312,3456.0,COMMERCIAL ST,V5N 4E9,LOT 27  PLAN EPS2683  DISTRICT LOT,"752  NWD GROUP 1, TOGETHER WITH AN",INTEREST IN THE COMMON PROPERTY IN,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,587000.0,173000.0,2022.0,554000.0,164000.0,2015.0,2015.0,2046.62,15,2022
029-011-922,STRATA,640182350102,64018235,CD-1 (464),Comprehensive Development,102,EPS1218,,200A,604,89.0,2ND AVE W,V5Y 0G9,LOT 102  PLAN EPS1218  DISTRICT LOT,"200A  NWD GROUP 1, TOGETHER WITH A",N INTEREST IN THE COMMON PROPERTY I,N PROPORTION TO THE UNIT ENTITLEMEN,T OF THE STRATA LOT AS SHOWN ON FOR,504000.0,210000.0,2022.0,464000.0,194000.0,2013.0,2013.0,1922.76,13,2022
009-000-275,LAND,719093640000,71909364,RS-1,One-Family Dwelling,28,VAP11644,88,526,,2038.0,29TH AVE W,V6J 3A1,LOT 28  BLOCK 88  PLAN VAP11644  DI,STRICT LOT 526  NEW WESTMINSTER,,,,2598000.0,319000.0,2020.0,3167000.0,319000.0,1965.0,1985.0,10214.2,4,2020
,LAND,790182947001,79018294,CD-1 (55),Comprehensive Development,,VAP12842,,526,,100.0,49TH AVE W,V5Y 2Z6,PLAN VAP12842  DISTRICT LOT 526  NW,D GROUP 1.,,,,3121000.0,683000.0,2023.0,2520000.0,414000.0,1970.0,1970.0,,11,2023
015-187-551,LAND,650122760000,65012276,C-3A,Commercial,8,VAP590,349,526,,1626.0,BROADWAY W,V6J 1X6,LOT 8  BLOCK 349  PLAN VAP590  DIST,RICT LOT 526  NEW WESTMINSTER,,,,7968000.0,8400.0,2020.0,9403000.0,8400.0,1967.0,1975.0,53631.2,7,2020
019-181-205,STRATA,156602080089,15660208,DD,Comprehensive Development,89,LMS1863,,541,711,838.0,HAMILTON ST,V6B 6A2,LOT 89  PLAN LMS1863  DISTRICT LOT,541  NEW WESTMINSTER UNDIV 385/1274,84 SHARE IN COM PROP THEREIN.,,,65100.0,99100.0,2023.0,69800.0,109000.0,1995.0,1995.0,,29,2023
003-030-032,STRATA,654151970021,65415197,CD-1 (137),Comprehensive Development,21,VAS1621,,526,207,925.0,10TH AVE W,V5Z 1L9,LOT 21  PLAN VAS1621  DISTRICT LOT,526  NWD TOGETHER WITH AN INTEREST,IN THE COMMON PROPERTY IN PROPORTIO,N TO THE UNIT ENTITLEMENT OF THE ST,RATA LOT AS SHOWN ON FORM 1,532000.0,64600.0,2023.0,488000.0,73400.0,1985.0,1985.0,,7,2023
011-125-004,LAND,736227700000,73622770,RS-1,One-Family Dwelling,10,VAP1522,6,700,,1370.0,36TH AVE E,V5W 1C9,LOT 10  BLOCK 6  PLAN VAP1522  DIST,RICT LOT 700  NWD GROUP 1.,,,,1095000.0,75600.0,2020.0,1294000.0,76400.0,1910.0,1980.0,5097.8,19,2020
018-999-921,STRATA,126606930061,12660693,CD-1 (273),Comprehensive Development,61,LMS1631,,541,905,811.0,HELMCKEN ST,V6Z 1B1,LOT 61  PLAN LMS1631  DISTRICT LOT,541  NEW WESTMINSTER UNDIV 62/10000,SHARE IN COM PROP THEREIN.,,,348000.0,161000.0,2020.0,399000.0,164000.0,1994.0,1994.0,1489.18,29,2020
013-917-269,LAND,266695380000,26669538,RS-1,One-Family Dwelling,11,VAP2303,23,195,,3538.0,GLADSTONE ST,V5N 4Y7,LOT 11  BLOCK 23  PLAN VAP2303  DIS,TRICT LOT 195  NEW WESTMINSTER,,,,1135000.0,152000.0,2020.0,1266000.0,152000.0,1981.0,1991.0,5359.36,14,2020
029-442-575,STRATA,125827840051,12582784,CD-1 (517),Comprehensive Development,51,EPS2353,,325,1001,8588.0,CORNISH ST,V6P 0C1,LOT 51  PLAN EPS2353  DISTRICT LOT,"325  NWD GROUP 1, TOGETHER WITH AN",INTEREST IN THE COMMON PROPERTY IN,PROPORTION TO THE UNIT ENTITLEMENT,OF THE STRATA LOT AS SHOWN ON FORM,401000.0,234000.0,2023.0,373000.0,229000.0,2014.0,2014.0,,12,2023
018-061-907,STRATA,617124080208,61712408,CD-1 (251),Comprehensive Development,208,LMS712,,,2106,1500.0,HORNBY ST,V6Z 2R1,LOT 208  PLAN LMS712  NWD DISTRICT,"LOT FALSE CREEK, TOGETHER WITH AN I",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,F THE STRATA LOT AS SHOWN ON FORM 1,1240000.0,307000.0,2023.0,1132000.0,318000.0,1993.0,1993.0,,30,2023
015-360-091,LAND,594277210000,59427721,RS-1,Single Detached House,9,VAP365,,THSL,,2833.0,TURNER ST,V5K 2G6,LOT 9  PLAN VAP365  DISTRICT LOT TH,SL  NEW WESTMINSTER THE EAST 1/2 OF,LOT 9 EXCPET THE NORTH 10 FEET NOW,LANE OF LOT 72.,,1814000.0,53200.0,2023.0,1668000.0,57100.0,1926.0,1975.0,,20,2023
019-161-174,STRATA,210710030024,21071003,C-2,Commercial,24,LMS1839,,391,311,4113.0,FRASER ST,V5V 4E9,LOT 24  PLAN LMS1839  DISTRICT LOT,391  NEW WESTMINSTER UNDIV 719/3882,0 SHARE IN COM PROP THEREIN.,,,374000.0,161000.0,2022.0,312000.0,135000.0,1994.0,1994.0,1440.71,16,2022
026-238-535,STRATA,618129450003,61812945,CD-1 (366),Comprehensive Development,3,BCS1219,,,,1482.0,SEYMOUR MEWS,V6Z 3E7,LOT 3  PLAN BCS1219  NEW WESTMINSTE,"R DISTRICT LOT FALSE CREEK, GROUP 1",.,,,934000.0,527000.0,2021.0,887000.0,521000.0,2005.0,2005.0,4269.77,30,2021
028-787-030,STRATA,589118930068,58911893,CD-1 (364),Comprehensive Development,68,EPS677,,,2402,277.0,THURLOW ST,V6C 0C1,LOT 68  PLAN EPS677  NWD PUBLIC HAR,"BOUR BURRARD INLET, TOGETHER WITH A",N INTEREST IN THE COMMON PROPERTY I,N PROPORTION TO THE UNIT ENTITLEMEN,T OF THE STRATA LOT AS SHOWN ON FOR,7637000.0,2434000.0,2022.0,7052000.0,2248000.0,2012.0,2012.0,53404.4,28,2022
014-276-755,LAND,739239640000,73923964,RS-1,One-Family Dwelling,4,VAP1803,E,703,,1768.0,37TH AVE E,V5P 1E8,LOT 4  BLOCK E  PLAN VAP1803  DISTR,ICT LOT 703  NEW WESTMINSTER,,,,1048000.0,33100.0,2020.0,1189000.0,34800.0,1910.0,1960.0,4809.96,19,2020
019-062-907,STRATA,120606920224,12060692,CD-1 (386),Comprehensive Development,224,LMS1689,,541,2114,1088.0,BURRARD ST,V6Z 2R9,LOT 224  PLAN LMS1689  DISTRICT LOT,541  NEW WESTMINSTER UNDIV 230/216,465 SHARE IN COM PROP THEREIN.,,,49800.0,44600.0,2022.0,49900.0,44500.0,1994.0,1994.0,803.36,26,2022
014-585-464,LAND,246770210000,24677021,RS-1,Single Detached House,12,VAP1515,13,352,,4439.0,BEATRICE ST,V5N 4J1,LOT 12  BLOCK 13  PLAN VAP1515  DIS,TRICT LOT 352  NEW WESTMINSTER,,,,1567000.0,151000.0,2023.0,1472000.0,154000.0,1983.0,1983.0,,19,2023
012-810-495,LAND,280633440000,28063344,RS-1,One-Family Dwelling,4,VAP3517,59,THSL,,1950.0,RENFREW ST,V5M 3J3,LOT 4  BLOCK 59  SECTION 31  PLAN V,AP3517  DISTRICT LOT THSL  NEW WEST,MINSTER,,,1112000.0,816000.0,2020.0,1281000.0,819000.0,2015.0,2015.0,5996.72,21,2020
024-713-767,STRATA,643078290001,64307829,RT-8,Two-Family Dwelling,1,LMS4109,,526,,2373.0,6TH AVE W,V6K 1W1,LOT 1  PLAN LMS4109  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 623/4036,SHARE IN COMM PROP THEREIN.,,,644000.0,143000.0,2021.0,576000.0,157000.0,2000.0,2000.0,2300.01,2,2021
011-187-212,LAND,758091460000,75809146,RS-6,One-Family Dwelling,3,VAP5309,2,526,,2046.0,45TH AVE W,V6M 2H9,LOT 3  BLOCK 2  PLAN VAP5309  DISTR,ICT LOT 526  NEW WESTMINSTER OF LOT,4.,,,2792000.0,1787000.0,2021.0,2606000.0,1791000.0,2008.0,2008.0,19921.1,5,2021
023-100-249,STRATA,126604340038,12660434,DD,Comprehensive Development,38,LMS1997,,541,405,938.0,HOWE ST,V6Z 1N9,LOT 38  PLAN LMS1997  DISTRICT LOT,541  NEW WESTMINSTER UNDIV 214/4900,9 SHARE IN COMM PROP THEREIN.,,,220000.0,21400.0,2020.0,181000.0,22200.0,1991.0,1991.0,1531.28,26,2020
030-909-007,STRATA,638184180009,63818418,CD-1 (464),Comprehensive Development,9,EPS5871,,200A,102,1708.0,ONTARIO ST,V5T 0J7,LOT 9  PLAN EPS5871  DISTRICT LOT 2,00A  NWD  BCAGROUP 1 TOGETHER WITH,AN INTEREST IN THE COMMON PROPERTY,IN PROPORTION TO THE UNIT ENTITLEME,NT OF THE STRATA LOT AS SHOWN ON FO,553000.0,227000.0,2022.0,507000.0,208000.0,2019.0,2019.0,2100.49,13,2022
026-377-080,STRATA,162604050311,16260405,CD-1 (324),Comprehensive Development,311,BCS1437,,FC,503,939.0,EXPO BLVD,V6Z 3G7,"STRATA LOT 311, PLAN BCS1437, DISTR","ICT LOT FC, GROUP 1, NEW WESTMINSTE","R LAND DISTRICT, TOGETHER WITH AN I",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,362000.0,168000.0,2021.0,369000.0,188000.0,2005.0,2005.0,1548.93,30,2021
